PuzzleId,FEN,Moves,Rating,Themes
g8Kup,r2Rk1r1/1pq2p1p/5Bp1/p3Pb2/8/4p2P/PPPQ4/2KR4 b q - 1 25,a8d8 d2d8 c7d8 d1d8,1163,mate mateIn2 middlegame operaMate short
fIr8A,1rb2rk1/1pp2p2/p2p4/3Pb2p/P1Q1P2P/4qP2/4N3/1R1BK1NR w K - 2 22,c4b3 e5g3 e1f1 e3f2,1164,mate mateIn2 middlegame pin short
gfdOL,6k1/pR6/6K1/3nP2p/8/r7/P6P/8 b - - 4 35,d5b6 b7b8 b6c8 b8c8,1165,endgame mate mateIn2 short
at9MB,r1b1Q1k1/pp1n1pp1/8/3n2P1/3P4/2q5/P1B3P1/2KR3R b - - 2 20,d7f8 h1h8 g8h8 e8f8,1166,attraction deflection mate mateIn2 middlegame sacrifice short
Zbxd8,4R3/5kp1/1p1q3p/p7/6K1/5P1P/PPQ3P1/3r4 w - - 5 37,e8e4 d6g6 g4h4 g6g5,1167,endgame mate mateIn2 short
K3BHj,2r1k1nr/pp3ppp/2b1p3/3pP1N1/3P4/P1b2Q2/1q1B1PPP/R4RK1 b k - 1 14,b2d2 f3f7 e8d8 g5e6,1168,attackingF2F7 cornerMate mate mateIn2 middlegame short
D4EPP,4R3/3N2k1/1p5p/p1bB1p2/3n3P/1P4PK/r7/8 b - - 1 42,d4e2 e8g8 g7h7 d7f6,1169,cornerMate endgame master mate mateIn2 short
Dbmkk,5rrk/pQR3p1/1p1R3p/1P2p3/4P2b/4qN2/P5PP/7K b - - 4 33,e3f2 d6h6 g7h6 c7h7,1170,kingsideAttack mate mateIn2 middlegame sacrifice short
6Glsm,4rrk1/1pp1q3/3p2pQ/p2P4/P3P3/5P2/1PnKB3/R6R b - - 2 23,c2a1 h6h8 g8f7 h1h7,1171,master masterVsMaster mate mateIn2 middlegame short
2YlIV,8/R4Pk1/6p1/5r2/6K1/6P1/B5nP/8 w - - 4 59,a7b7 g2e3 g4h4 f5h5,1172,endgame mate mateIn2 short
zz0Ev,1q3rk1/3p2b1/2p1pN1p/2p2pNQ/3P4/2KBP3/r7/8 b - - 1 23,g7f6 h5g6 f6g7 g6h7,1172,mate mateIn2 middlegame short
vEDT7,3k3r/1rpP1p1b/8/1p1Q2pp/4nP1q/2N1P2P/PP4PR/R1B3K1 w - - 3 21,c1d2 h4f2 g1h1 e4g3,1173,kingsideAttack mate mateIn2 middlegame short
nowhG,r7/p1p1rpk1/2p3p1/3pPN2/8/1P6/P1P4R/5R1K b - - 5 28,g6f5 f1g1 g7f8 h2h8,1174,endgame mate mateIn2 rookEndgame short
lOht8,r4r2/3R1ppp/1k2p3/8/PPp5/4P3/5PPP/2KR4 b - - 0 25,a8a4 d1d6 b6b5 d7b7,1175,endgame mate mateIn2 rookEndgame short
fcUpj,1k6/2P5/1P6/1K2ppp1/p7/P7/3p4/8 b - - 0 51,b8c8 b5c6 e5e4 b6b7,1176,advancedPawn endgame mate mateIn2 pawnEndgame short
gCW7I,4R1k1/ppp3p1/2p3P1/5r2/7R/2P5/r7/6K1 b - - 1 33,f5f8 h4h8 g8h8 e8f8,1177,attraction deflection endgame mate mateIn2 rookEndgame short
